,report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,week
94,2021-10-24,4128091,00:20:49,229724,98.83,17.8,22731.19,2953263066,10120947,17.969785481708485,0.028252768652629025,15.233325630474202,12.344633867328813,4.593401202388092,6
95,2021-10-31,4083027,00:20:44,228907,97.02,17.02,22842.63,2957301029,10143363,17.837056097017566,0.027930258604706753,15.222349183064566,12.341071086512823,4.57491714281707,6
96,2021-11-07,4076435,00:20:53,230943,98.59,18.25,22961.86,2961361039,10166503,17.6512602676851,0.028662299288471423,15.220733389907076,12.349926205808586,4.59096983658695,6
97,2021-11-14,4154634,00:21:04,234881,105.43,19.07,22969.34,2961429568,10170958,17.68825064607184,0.029966538568740354,15.23973489574923,12.366834281892412,4.6580472255888585,6
98,2021-11-21,4237874,00:21:04,238560,100.66,17.75,23087.39,2965657060,10198305,17.76439470154259,0.02794089677984763,15.259572286363214,12.382376129998566,4.611748501348214,6
99,2021-11-28,3775898,00:21:18,234001,89.91,15.08,23192.83,2969423283,10226863,16.136247280994525,0.027805306181469945,15.144148793170814,12.36308066783498,4.498809169996681,6
100,2021-12-05,4273933,00:21:16,243546,105.39,17.2,23315.14,2973686567,10258670,17.548771074047615,0.028683182445770675,15.268045038556794,12.403061115367525,4.657667754945845,6
101,2021-12-12,4401032,00:21:25,243384,105.25,17.8,23437.87,2978074813,10289652,18.08266771850245,0.02795935135213741,15.29734961684155,12.402395721959943,4.656338472562491,6
102,2021-12-19,4280458,00:21:35,238392,107.81,17.33,23562.68,2982343734,10318906,17.955543810194975,0.029235189318526197,15.269570571178683,12.381671656563302,4.680370418551027,6
103,2021-12-26,3718831,00:21:54,226217,93.79,16.58,23672.77,2986050555,10351030,16.439219864112776,0.029678681284521936,15.128919929551468,12.329249994570509,4.541058240520847,6
104,2022-01-02,3866501,00:22:11,228609,95.01,18.04,23785.43,2989904252,10392618,16.913161774033394,0.02923832167636838,15.167860521663032,12.339768399646607,4.553982149218658,6
105,2022-01-09,3477266,00:22:09,217029,88.87,14.91,23888.92,2993372440,10414111,16.022126075317125,0.02984528649807061,15.061756910796054,12.287786264146488,4.487174627750384,6
106,2022-01-16,3345285,00:22:18,206094,91.86,14.67,23995.19,2996708593,10431711,16.231840810503943,0.03184482039646846,15.023062449708721,12.236087654373272,4.520265678897648,6
107,2022-01-23,3372595,00:22:10,206728,98.68,14.62,24108.14,3000070573,10449897,16.31416644092721,0.0335943094264209,15.031193035681394,12.239159198517964,4.591882291661156,6
108,2022-01-30,3357235,00:22:16,204380,98.56,14.63,24221.09,3003418699,10466807,16.42643605049418,0.03371524483689703,15.026628276490928,12.2277362851662,4.59066549978521,6
109,2022-02-06,3478457,00:21:59,211075,94.43,14.54,24330.07,3006897156,10486128,16.4797204785029,0.03132710854266705,15.062099362619291,12.2599687995377,4.547858819274978,6
110,2022-02-13,3818432,00:21:49,219243,97.87,16.2,24444.14,3010715588,10509510,17.41643746892717,0.029873518763722913,15.155350425112205,12.297935982700807,4.583640067437728,6
111,2022-02-20,3828421,00:22:01,218063,98.7,15.48,24557.28,3014508154,10530559,17.556490555481673,0.02982430615650682,15.157963004609082,12.29253929084711,4.592084946439436,6
112,2022-02-27,3702101,00:22:15,217733,102.56,15.5,24674.42,3018169953,10557298,17.0029393798827,0.03188999975959597,15.124411054293391,12.291024820484488,4.63044799317236,6
113,2022-03-06,4022287,00:21:59,226351,102.97,15.88,24792.04,3022149044,10583572,17.77013134468149,0.02954786667385992,15.207361204302472,12.329842170791169,4.63443768366866,6
114,2022-03-13,3894963,00:22:04,222794,101.75,16.29,24909.12,3026011170,10608217,17.482351409822527,0.030305807783026436,15.175194737883714,12.314002856690601,4.622518824322705,6
115,2022-03-20,4241789,00:22:12,232342,109.1,18.57,25035.7,3030214659,10641759,18.256660440213135,0.030098149625075645,15.260495672181301,12.35596570310479,4.692264892839025,6
116,2022-03-27,4164598,00:22:11,232452,106.1,17.65,25158.54,3034343235,10671938,17.915948238776178,0.029714752780460443,15.242130310317417,12.356439031082576,4.664382045619937,6
117,2022-04-03,4083721,00:22:10,231675,105.11,17.03,25279.69,3038391499,100700585,17.62693859933096,0.029908997211121915,15.22251914055601,12.353090806454892,4.655007420835263,6
118,2022-04-10,4279006,00:22:11,238727,110.42,18.56,25407.67,3042629988,10736221,17.924264955367427,0.030142514406383162,15.269231297594747,12.383075918623922,4.704291276855899,6
119,2022-04-17,4786945,00:22:16,258440,119.1,21.31,25546.79,3047374001,10785837,18.52246169323634,0.029331859881406616,15.381402978858047,12.462418837672102,4.779963476361254,6
120,2022-04-24,4353342,00:22:17,246063,115.45,19.35,25680.37,3051714883,10824042,17.6919813218566,0.030964716303015023,15.286454383954107,12.413342879688093,4.748837535800504,6
121,2022-05-01,2659102,00:21:46,206636,66.64,11.28,25758.28,3054372740,10843270,12.868532104763933,0.029303125641663992,14.793499029775242,12.238714070245935,4.1993049978585875,6
122,2022-05-08,1651913,00:24:30,90637,68.2,10.47,25837.26,3056046274,10977991,18.225592197446957,0.04762357339641979,14.317444568238036,11.414617797184146,4.222444564849416,6
