report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,cohort,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,month
2023-10-08,5423843,00:23:34,306410,158.28,25.45,36704.96,3369065015,14372769,2023-10,17.70125975000816,0.03387450558579959,15.506315162755714,12.632679353391714,5.0643656165172235,10
2023-10-15,5271828,00:23:39,306576,155.58,25.57,36886.11,3374336843,14420604,2023-10,17.195827462032252,0.03436189496318924,15.477887729442585,12.63322096446948,5.047160068778628,10
2023-10-22,5398708,00:23:19,308183,151.82,24.81,37062.73,3379735451,14469804,2023-10,17.517864385770793,0.03271708712528997,15.50167022364818,12.63844904135917,5.022695608588622,10
2023-10-29,5743315,00:23:14,319553,160.2,25.43,37248.36,3385478766,14525256,2023-10,17.97296536098863,0.03232105500046576,15.563547127724117,12.674678423236518,5.076423034634259,10
2023-11-05,5632052,00:23:11,319096,154.96,25.13,37428.45,3391110818,14576282,2023-11,17.650023817283827,0.03197591215422017,15.543984409731937,12.673247276932361,5.043167019098741,11
2023-11-12,5302238,00:23:36,306918,159.72,24.33,37612.5,3396413056,14616604,2023-11,17.275747919639773,0.03471175756350432,15.483639553544876,12.634335889914317,5.073422282195021,11
2023-11-19,5343473,00:23:32,304283,164.19,24.53,37801.22,3401756527,14655834,2023-11,17.560866035894218,0.035317854137187556,15.491386374066352,12.625713468402717,5.1010242938239365,11
2023-11-26,4691377,00:23:41,297100,146.81,22.41,37970.44,3406447904,14695544,2023-11,15.790565466173005,0.03607043305195894,15.361236700740928,12.6018240614507,4.989139233751369,11
2023-12-03,5165412,00:23:38,307243,153.08,23.54,38147.06,3411613287,14737696,2023-12,16.812138925866495,0.034192819469192386,15.457495425021595,12.635394244418547,5.0309606605575015,12
2023-12-10,5297784,00:23:30,308622,157.81,25.27,38330.14,3416911071,14781104,2023-12,17.16593113906332,0.03455784531796691,15.482799177881104,12.639872506065606,5.061391777760042,12
2023-12-17,5171875,00:23:40,308622,154.4,24.68,38509.23,3422082946,14820681,2023-12,16.757959575143705,0.034625740181268884,15.458745849981666,12.639872506065606,5.039546637590676,12
2023-12-24,4991847,00:23:38,302184,147.02,22.64,38678.9,3427074793,14865137,2023-12,16.51923000555953,0.03398741988686753,15.423316539523247,12.618791382349647,4.9905686319459415,12
2023-12-31,4783389,00:24:04,305651,142.53,23.7,38845.12,3431858182,14926663,2023-12,15.649839195683967,0.03475151195104558,15.38065984906474,12.630199207167534,4.95955250386694,12
2024-01-07,4835625,00:23:55,309282,141.8,22.95,39009.86,3436693802,14971258,2024-01,15.635003006964517,0.03407005299211581,15.391520944285856,12.642008761053427,4.954417614098027,1
2024-01-14,4699333,00:23:50,284171,150.41,22.13,39182.4,3441393135,15004872,2024-01,16.536990051764608,0.036715848823652204,15.362931141715798,12.557331448622293,5.013364898667122,1
2024-01-21,4232226,00:24:05,273250,142.14,20.36,39344.91,3445625361,15032667,2024-01,15.488475754803293,0.038395870163833404,15.258238653740905,12.518142406038786,4.956812487398749,1
2024-01-28,4710722,00:24:05,284729,155.97,23.18,39524.05,3450336083,15067447,2024-01,16.544580987535515,0.03803026372602756,15.365351745115245,12.559293129687298,5.049663681063734,1
2024-02-04,4978319,00:23:46,292959,160.57,22.62,39707.24,3455314402,15104079,2024-02,16.99322772128523,0.0367975615865516,15.42060284181714,12.58778794646723,5.078729984561593,2
2024-02-11,5260176,00:23:53,301753,164.97,24.31,39896.52,3460574578,15144057,2024-02,17.432058670502034,0.03598358686097195,15.475675044230162,12.617364080915328,5.105763639187833,2
2024-02-18,4959118,00:23:53,301700,154.98,24.43,40075.93,3465533696,15183349,2024-02,16.437248922770966,0.036177804198246545,15.416738460308155,12.617188425147152,5.043296076335804,2
2024-02-25,4972753,00:24:13,305726,171.19,25.54,40272.66,3470506449,15229858,2024-02,16.265391232672393,0.039561586911716705,15.419484168255044,12.630444554965624,5.142774050786687,2
2024-03-03,5314141,00:23:45,310357,175.55,25.02,40473.23,3475820590,15268890,2024-03,17.122671632990397,0.0377426944448783,15.48588193863449,12.64547852676707,5.167923902614441,3
2024-03-10,5268013,00:23:36,311287,165.72,24.25,40663.19,3481088603,15308732,2024-03,16.923331202395218,0.036061034777249035,15.477163809571952,12.64847059519793,5.1102996172092015,3
2024-03-17,2588382,00:23:51,270152,82.98,13.28,40759.45,3483676985,15339944,2024-03,9.581206135805028,0.03718925568173477,14.766543528038147,12.506740042539274,4.418599614904722,3
2024-03-24,4753637,00:23:47,293347,154.76,22.53,41002.18,3489168600,15380193,2024-03,16.20482568425789,0.03729565383305456,15.374420567234742,12.589111487610047,5.041875529832312,3
2024-03-31,4495197,00:31:12,402345,170.21,27.09,41199.49,3493663797,15438718,2024-03,11.172493755359207,0.043891291082459795,15.318520051401366,12.905065208505638,5.137032968819882,3
2024-04-07,4222665,00:34:08,132672,209.27,30.5,41439.26,3497886462,15513068,2024-04,31.827853654124457,0.05678167697413837,15.255977003277184,11.795635195795452,5.343625284252578,4
2024-04-14,5298115,00:33:34,156854,245.6,36.02,41720.87,3503184577,15579249,2024-04,33.77736621316638,0.05315475409650413,15.48286165488284,11.963070715365696,5.503704196272987,4
2024-04-21,5985633,00:33:30,173620,190.68,31.27,41710.19,3508298274,15610750,2024-04,34.47548093537611,0.037080455818123165,15.604872655792578,12.064624281945799,5.250596630336625,4
2024-04-28,6322536,00:33:20,186472,198.45,34.26,41942.9,3514620810,15668785,2024-04,33.90608777725342,0.03680643336787643,15.659630951460224,12.136036372746506,5.290537179229075,4
2024-05-05,7011479,00:32:51,203323,206.64,34.93,42184.47,3521632289,15724268,2024-05,34.484436094293315,0.034453501179993545,15.763059221064845,12.22255112651789,5.330978148787585,5
2024-05-12,7303526,00:32:44,210096,213.62,35.2,42433.29,3528935815,15776187,2024-05,34.762803670702915,0.03406847596626616,15.803867803203682,12.255319848098786,5.3641987356615495,5
2024-05-19,7426039,00:32:56,217966,220.02,35.57,42688.89,3536361854,15827505,2024-05,34.06971270748649,0.034418079409494075,15.82050316552331,12.292094366304934,5.3937184513112895,5
